date_id,full_date,year,month,week
20100205,2010-02-05,2010,2,5
20100212,2010-02-12,2010,2,6
20100219,2010-02-19,2010,2,7
20100226,2010-02-26,2010,2,8
20100305,2010-03-05,2010,3,9
20100312,2010-03-12,2010,3,10
20100319,2010-03-19,2010,3,11
20100326,2010-03-26,2010,3,12
20100402,2010-04-02,2010,4,13
20100409,2010-04-09,2010,4,14
20100416,2010-04-16,2010,4,15
20100423,2010-04-23,2010,4,16
20100430,2010-04-30,2010,4,17
20100507,2010-05-07,2010,5,18
20100514,2010-05-14,2010,5,19
20100521,2010-05-21,2010,5,20
20100528,2010-05-28,2010,5,21
20100604,2010-06-04,2010,6,22
20100611,2010-06-11,2010,6,23
20100618,2010-06-18,2010,6,24
20100625,2010-06-25,2010,6,25
20100702,2010-07-02,2010,7,26
20100709,2010-07-09,2010,7,27
20100716,2010-07-16,2010,7,28
20100723,2010-07-23,2010,7,29
20100730,2010-07-30,2010,7,30
20100806,2010-08-06,2010,8,31
20100813,2010-08-13,2010,8,32
20100820,2010-08-20,2010,8,33
20100827,2010-08-27,2010,8,34
20100903,2010-09-03,2010,9,35
20100910,2010-09-10,2010,9,36
20100917,2010-09-17,2010,9,37
20100924,2010-09-24,2010,9,38
20101001,2010-10-01,2010,10,39
20101008,2010-10-08,2010,10,40
20101015,2010-10-15,2010,10,41
20101022,2010-10-22,2010,10,42
20101029,2010-10-29,2010,10,43
20101105,2010-11-05,2010,11,44
20101112,2010-11-12,2010,11,45
20101119,2010-11-19,2010,11,46
20101126,2010-11-26,2010,11,47
20101203,2010-12-03,2010,12,48
20101210,2010-12-10,2010,12,49
20101217,2010-12-17,2010,12,50
20101224,2010-12-24,2010,12,51
20101231,2010-12-31,2010,12,52
20110107,2011-01-07,2011,1,1
20110114,2011-01-14,2011,1,2
20110121,2011-01-21,2011,1,3
20110128,2011-01-28,2011,1,4
20110204,2011-02-04,2011,2,5
20110211,2011-02-11,2011,2,6
20110218,2011-02-18,2011,2,7
20110225,2011-02-25,2011,2,8
20110304,2011-03-04,2011,3,9
20110311,2011-03-11,2011,3,10
20110318,2011-03-18,2011,3,11
20110325,2011-03-25,2011,3,12
20110401,2011-04-01,2011,4,13
20110408,2011-04-08,2011,4,14
20110415,2011-04-15,2011,4,15
20110422,2011-04-22,2011,4,16
20110429,2011-04-29,2011,4,17
20110506,2011-05-06,2011,5,18
20110513,2011-05-13,2011,5,19
20110520,2011-05-20,2011,5,20
20110527,2011-05-27,2011,5,21
20110603,2011-06-03,2011,6,22
20110610,2011-06-10,2011,6,23
20110617,2011-06-17,2011,6,24
20110624,2011-06-24,2011,6,25
20110701,2011-07-01,2011,7,26
20110708,2011-07-08,2011,7,27
20110715,2011-07-15,2011,7,28
20110722,2011-07-22,2011,7,29
20110729,2011-07-29,2011,7,30
20110805,2011-08-05,2011,8,31
20110812,2011-08-12,2011,8,32
20110819,2011-08-19,2011,8,33
20110826,2011-08-26,2011,8,34
20110902,2011-09-02,2011,9,35
20110909,2011-09-09,2011,9,36
20110916,2011-09-16,2011,9,37
20110923,2011-09-23,2011,9,38
20110930,2011-09-30,2011,9,39
20111007,2011-10-07,2011,10,40
20111014,2011-10-14,2011,10,41
20111021,2011-10-21,2011,10,42
20111028,2011-10-28,2011,10,43
20111104,2011-11-04,2011,11,44
20111111,2011-11-11,2011,11,45
20111118,2011-11-18,2011,11,46
20111125,2011-11-25,2011,11,47
20111202,2011-12-02,2011,12,48
20111209,2011-12-09,2011,12,49
20111216,2011-12-16,2011,12,50
20111223,2011-12-23,2011,12,51
20111230,2011-12-30,2011,12,52
20120106,2012-01-06,2012,1,1
20120113,2012-01-13,2012,1,2
20120120,2012-01-20,2012,1,3
20120127,2012-01-27,2012,1,4
20120203,2012-02-03,2012,2,5
20120210,2012-02-10,2012,2,6
20120217,2012-02-17,2012,2,7
20120224,2012-02-24,2012,2,8
20120302,2012-03-02,2012,3,9
20120309,2012-03-09,2012,3,10
20120316,2012-03-16,2012,3,11
20120323,2012-03-23,2012,3,12
20120330,2012-03-30,2012,3,13
20120406,2012-04-06,2012,4,14
20120413,2012-04-13,2012,4,15
20120420,2012-04-20,2012,4,16
20120427,2012-04-27,2012,4,17
20120504,2012-05-04,2012,5,18
20120511,2012-05-11,2012,5,19
20120518,2012-05-18,2012,5,20
20120525,2012-05-25,2012,5,21
20120601,2012-06-01,2012,6,22
20120608,2012-06-08,2012,6,23
20120615,2012-06-15,2012,6,24
20120622,2012-06-22,2012,6,25
20120629,2012-06-29,2012,6,26
20120706,2012-07-06,2012,7,27
20120713,2012-07-13,2012,7,28
20120720,2012-07-20,2012,7,29
20120727,2012-07-27,2012,7,30
20120803,2012-08-03,2012,8,31
20120810,2012-08-10,2012,8,32
20120817,2012-08-17,2012,8,33
20120824,2012-08-24,2012,8,34
20120831,2012-08-31,2012,8,35
20120907,2012-09-07,2012,9,36
20120914,2012-09-14,2012,9,37
20120921,2012-09-21,2012,9,38
20120928,2012-09-28,2012,9,39
20121005,2012-10-05,2012,10,40
20121012,2012-10-12,2012,10,41
20121019,2012-10-19,2012,10,42
20121026,2012-10-26,2012,10,43
